店家名稱,備註,名單,文字,有無買到,檔案和媒體,網址
3COINS,,,零錢收納包,No,%E6%96%B0%E6%B8%85%E5%96%AE/3COINS/%E6%88%AA%E5%9C%96_2025-07-18_%E6%99%9A%E4%B8%8A10.31.56.png,
MUJI,,,https://www.muji.com/jp/ja/store/cmdty/detail/4550344598153,Yes,%E6%96%B0%E6%B8%85%E5%96%AE/MUJI/4550344598153_org.jpeg,
藥妝,"https://goo.gl/maps/zhQd75Fh1H7gtzQr5
08:05–23:00",,"B群 / 維他命C
感冒藥 / EVE
大猩猩按摩",No,,
,,,瀏海定型噴霧 小罐 ⭐️⭐️⭐️,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202783-a486/IMG_7753.jpeg,
,,,https://www.kanebo-global.com/global/zh-tw/skincare/detail/comfort_stretchy_wash_ii/,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202793-50a3/image.png,
,,,敏感肌用防曬乳,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202793-246d/image.png,
,,,yunth 妝前乳 clear,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202793-4ddf/image.png,
,,,精油洗手乳 扁柏薰衣草 ⭐️⭐️,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202793-57dd/4550584404610_org.jpeg,https://www.muji.com/jp/ja/store/cmdty/detail/4550584404610
Lawson,,,銅鑼燒,No,%E6%96%B0%E6%B8%85%E5%96%AE/Lawson/image.png,
,,,日本國產焙茶拿鐵,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202793-4920/%E6%88%AA%E5%9C%96_2025-03-05_%E6%99%9A%E4%B8%8A10.28.38.png,
,,,扣環收納袋,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202793-4e9d/%E6%88%AA%E5%9C%96_2025-07-18_%E6%99%9A%E4%B8%8A10.32.12.png,
,,,化妝包,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202793-4afb/%E6%88%AA%E5%9C%96_2025-07-18_%E6%99%9A%E4%B8%8A10.32.38.png,
,,,Premium生乳捲,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202793-b8bb/image.png,
,,,蜜粉濕紙巾,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202793-4df4/image.png,
,,,第一三共 解熱止痛藥,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202793-f6e8/Kevin%E8%80%81%E5%B8%AB%E7%9A%84%E6%99%82%E5%B0%9A%E7%BE%8E%E5%A6%9D%E9%A0%BB%E9%81%93_-_%E3%80%90%E6%8A%BD%E7%8D%8E%E3%80%91%E5%85%AC%E9%96%8B%E7%A7%81%E4%BA%BA%E8%A3%9C%E8%B2%A8%E6%B8%85%E5%96%AE%E6%97%A5%E6%9C%AC%E6%9D%BE%E6%9C%AC%E6%B8%85%E5%BF%85%E8%B2%B7%E8%97%A5%E5%A6%9D%EF%BD%9C_%E6%B7%A1%E6%96%91%E7%BE%8E%E7%99%BD%E4%B8%B8%EF%BD%9C%E6%B4%97%E9%A1%8F%E5%87%9D%E8%86%A0%EF%BD%9C%E5%B0%8F%E7%B4%85%E7%AE%A1%E7%89%99%E8%86%8F%EF%BD%9C%E9%AB%98%E9%98%B2%E6%9B%AC%E6%8A%97%E7%9A%BA%E6%97%A5%E9%9C%9C%EF%BD%9C%E6%88%90%E4%BA%BA%E7%97%98%E7%97%98%E8%97%A5%EF%BD%9C%E9%85%B8%E7%97%9B%E8%B2%BC%E5%B8%83_ll_Kevin_(2).png,
,,,塗抹止痛棒,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202793-920a/Kevin%E8%80%81%E5%B8%AB%E7%9A%84%E6%99%82%E5%B0%9A%E7%BE%8E%E5%A6%9D%E9%A0%BB%E9%81%93_-_%E3%80%90%E6%8A%BD%E7%8D%8E%E3%80%91%E5%85%AC%E9%96%8B%E7%A7%81%E4%BA%BA%E8%A3%9C%E8%B2%A8%E6%B8%85%E5%96%AE%E6%97%A5%E6%9C%AC%E6%9D%BE%E6%9C%AC%E6%B8%85%E5%BF%85%E8%B2%B7%E8%97%A5%E5%A6%9D%EF%BD%9C_%E6%B7%A1%E6%96%91%E7%BE%8E%E7%99%BD%E4%B8%B8%EF%BD%9C%E6%B4%97%E9%A1%8F%E5%87%9D%E8%86%A0%EF%BD%9C%E5%B0%8F%E7%B4%85%E7%AE%A1%E7%89%99%E8%86%8F%EF%BD%9C%E9%AB%98%E9%98%B2%E6%9B%AC%E6%8A%97%E7%9A%BA%E6%97%A5%E9%9C%9C%EF%BD%9C%E6%88%90%E4%BA%BA%E7%97%98%E7%97%98%E8%97%A5%EF%BD%9C%E9%85%B8%E7%97%9B%E8%B2%BC%E5%B8%83_ll_Kevin%E6%83%B3.png,
,,,美白牙膏排行清單,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202793-3d7c/messageImage_1730707432044.jpg,
,,,高露潔 美白牙膏,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202793-422f/image.jpeg,
,,,clean dental （クリーンデンタル）牙膏,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202793-6abb/325173023_711807127055159_8540899525465332883_n.jpg,
,,,Minon化妝水,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202793-50d7/Kevin%E8%80%81%E5%B8%AB%E7%9A%84%E6%99%82%E5%B0%9A%E7%BE%8E%E5%A6%9D%E9%A0%BB%E9%81%93_-_%E3%80%90%E6%8A%BD%E7%8D%8E%E3%80%91%E5%85%AC%E9%96%8B%E7%A7%81%E4%BA%BA%E8%A3%9C%E8%B2%A8%E6%B8%85%E5%96%AE%E6%97%A5%E6%9C%AC%E6%9D%BE%E6%9C%AC%E6%B8%85%E5%BF%85%E8%B2%B7%E8%97%A5%E5%A6%9D%EF%BD%9C_%E6%B7%A1%E6%96%91%E7%BE%8E%E7%99%BD%E4%B8%B8%EF%BD%9C%E6%B4%97%E9%A1%8F%E5%87%9D%E8%86%A0%EF%BD%9C%E5%B0%8F%E7%B4%85%E7%AE%A1%E7%89%99%E8%86%8F%EF%BD%9C%E9%AB%98%E9%98%B2%E6%9B%AC%E6%8A%97%E7%9A%BA%E6%97%A5%E9%9C%9C%EF%BD%9C%E6%88%90%E4%BA%BA%E7%97%98%E7%97%98%E8%97%A5%EF%BD%9C%E9%85%B8%E7%97%9B%E8%B2%BC%E5%B8%83_ll_Kevin_(5).png,
,,,Minon保濕UV日霜,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202793-7d44/Kevin%E8%80%81%E5%B8%AB%E7%9A%84%E6%99%82%E5%B0%9A%E7%BE%8E%E5%A6%9D%E9%A0%BB%E9%81%93_-_%E3%80%90%E6%8A%BD%E7%8D%8E%E3%80%91%E5%85%AC%E9%96%8B%E7%A7%81%E4%BA%BA%E8%A3%9C%E8%B2%A8%E6%B8%85%E5%96%AE%E6%97%A5%E6%9C%AC%E6%9D%BE%E6%9C%AC%E6%B8%85%E5%BF%85%E8%B2%B7%E8%97%A5%E5%A6%9D%EF%BD%9C_%E6%B7%A1%E6%96%91%E7%BE%8E%E7%99%BD%E4%B8%B8%EF%BD%9C%E6%B4%97%E9%A1%8F%E5%87%9D%E8%86%A0%EF%BD%9C%E5%B0%8F%E7%B4%85%E7%AE%A1%E7%89%99%E8%86%8F%EF%BD%9C%E9%AB%98%E9%98%B2%E6%9B%AC%E6%8A%97%E7%9A%BA%E6%97%A5%E9%9C%9C%EF%BD%9C%E6%88%90%E4%BA%BA%E7%97%98%E7%97%98%E8%97%A5%EF%BD%9C%E9%85%B8%E7%97%9B%E8%B2%BC%E5%B8%83_ll_Kevin_(4).png,
,,,DHC金盞花葉黃素-眼睛,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202793-88cf/image.png,
,,,DHC綠藻-幫助排便,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202793-84f4/image.png,
,,,https://www.threads.net/@yienlee141913/post/DHpswrMSa_F?xmt=AQGzTEXeejk0y-XVprRPuvkR6YiTaZejUMKLtTbw5aCTGO8,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202793-3719/486210684_17903536176104211_6606619817215056524_n.jpg,https://www.threads.net/@yienlee141913/post/DHpswrMSa_F?xmt=AQGzTEXeejk0y-XVprRPuvkR6YiTaZejUMKLtTbw5aCTGO8
,,,"https://www.cosme.net/products/10268440/
頭皮止汗劑",No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202793-99d5/skuimg_1027508_xl.jpg,
7-11,超好ㄘ,,萊姆葡萄餅乾 ⭐️⭐️⭐️,No,%E6%96%B0%E6%B8%85%E5%96%AE/7-11/IMG_1259.jpeg,
,覺得小普,,巧克力冰,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202793-6ba7/image.png,
,,,費南雪,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202793-59bb/image.png,
,,,GUM 牙間刷,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202793-6d11/Untitled.png,
,松本清和Cocokarafine才買得到,,Biore呼吸感防曬乳,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%2027c3-9bbc/%E6%88%AA%E5%9C%96_2025-09-28_15.24.55.png,
,,,藥用洗面乳,No,,
,很甜（？,,開心果巧克力冰,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%2027c3-b0ab/Screenshot_2025-09-28_at_16.03.06_2.png,
,,,拔絲地瓜,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%2027c3-bcf1/Screenshot_2025-09-28_at_16.05.49.png,
,,,拿鐵口味果昔,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%2027c3-74f2/Screenshot_2025-09-28_at_16.06.26.png,
,,,新圓滾滾炸雞,No,,https://www.instagram.com/reel/DNGBKqAzO9u/?igsh=MTEwMmtmdTQ1OWcxcw==
,,,宇治抹茶脆筒霜淇淋,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%2027c3-eb12/Screenshot_2025-09-28_at_16.13.42.png,
,,,依蘭及橙香精油護手霜,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%2027c3-b76f/4550584404689_org.jpg,https://www.muji.com/jp/ja/store/cmdty/detail/4550584404689
,,,綠葡萄大福,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%2027c3-abc4/IMG_1493.jpg,
,,,草莓果實感冰（？,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%2027c3-ee3e/IMG_1492.jpg,
,,,睡眠麻藥 ⭐️⭐️⭐️⭐️⭐️,Yes,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%2027e3-09ee/IMG_8564.jpeg,https://www.muji.com/jp/ja/store/cmdty/detail/4550584359439
,,,透明布丁,No,,https://youtu.be/4SZ_QrKbytw?si=hqBQEyBqf9s8UHnn&t=828
Uniqlo,,,男女適穿 刷毛休閒寬褲 479847 ⭐️⭐️⭐️,No,,https://www.uniqlo.com/jp/ja/products/E479847-000/00?colorDisplayCode=39&sizeDisplayCode=004
,,,精油沐浴乳 檜木+薰衣草,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202853-8c50/4550584404436_org.jpeg,https://www.muji.com/jp/ja/store/cmdty/detail/4550584404436
超市,,,ほりにし 調味粉⭐️⭐️⭐️,No,,
,Aesop平替版（？,,Biore洗手乳 ⭐️⭐️⭐️,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202993-7148/IMG_9754.webp,
全家,,,辛普森襪子🧦,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E5%85%A8%E5%AE%B6/IMG_9877.jpeg,
,,,冷凍可麗露,No,,
,,,Freak’s Store 聯名衣,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202ba3-a4c8/%E6%88%AA%E5%9C%96_2025-11-29_16.32.50.png,https://www.daytona-park.com/feature/944887#lfLook
,,,投影機,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202bb3-b392/IMG_1318.jpeg,
,零錢包,,零錢包⭐️⭐️⭐️⭐️⭐️,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202bd3-8e82/IMG_1372.jpeg,https://www.palcloset.jp/display/item/2524-M09-000000/?cl=11&b=3coins
,,,自動壓縮機,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202be3-1abd/682708_2847460_1.jpg,https://www.palcloset.jp/display/item/2524-3C7B176-00/?b=3coins
,,,口袋紙巾 和 配件袋,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202be3-80ff/626395_2662215_1.jpg,https://www.palcloset.jp/display/item/2512-3C2B806-00/?b=3coins
Bic camera,,,WH-1000XM6 耳機 ⭐️⭐️⭐️,No,%E6%96%B0%E6%B8%85%E5%96%AE/Bic%20camera/00000014085203_A01.webp,https://www.biccamera.com/bc/item/14085203/
,,,recolte 調理機,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202c03-d6da/00000013031047_A01.webp,https://www.biccamera.com/bc/item/13031047/
,,,腮紅霜,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202c13-1936/IMG_1558.jpeg,
,,,吉伊卡哇草莓果昔,No,,
🎁 伴手禮,"-大丸東京店　バターステイツ
-シュガーバターの木 そごう横浜店",,砂糖樹 炭燒巧克力,No,,https://shop.grapestone.co.jp/shops?brand_ids=9
@Cosme,"遮瑕膏第二名
https://www.cosme.net/categories/item/1013/ranking/
Loft可能也有",,https://www.cosme.net/brands/656/https://www.cosme.net/products/10276759/ ,No,%E6%96%B0%E6%B8%85%E5%96%AE/@Cosme/%E6%88%AA%E5%9C%96_2025-12-19_%E4%B8%8B%E5%8D%882.24.21.png,
,,,三格洗衣袋,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202d33-cfa0/IMG_2527.jpeg,
,,,現泡鮮奶茶,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202d63-c10c/IMG_2629.jpeg,
